[                                     Unnamed: 0  ... Unnamed: 22
0                                           NaN  ...         NaN
1                                           NaN  ...         NaN
2                                           NaN  ...         NaN
3                                           NaN  ...         NaN
4                                           NaN  ...         NaN
5                                           NaN  ...         NaN
6                                           NaN  ...         NaN
7                                           NaN  ...         NaN
8                                           NaN  ...         NaN
9                                           NaN  ...         NaN
10                                          NaN  ...         NaN
11                                          NaN  ...         NaN
12                                          NaN  ...         NaN
13                                          NaN  ...         NaN
14                                 Kindergarten  ...         NaN
15                                          NaN  ...         NaN
16                                      Grade 1  ...         NaN
17                                          NaN  ...         NaN
18                                      Grade 2  ...         NaN
19                                      Grade 3  ...         NaN
20                                      Grade 4  ...         NaN
21                                      Grade 5  ...         NaN
22                             Total Enrollment  ...         NaN
23                                          NaN  ...         NaN
24                                          NaN  ...         NaN
25                    Black or African American  ...         NaN
26                                          NaN  ...         NaN
27                                        Asian  ...         NaN
28                                     Filipino  ...         NaN
29                           Hispanic or Latino  ...         NaN
30          Native Hawaiian or Pacific Islander  ...         NaN
31                                        White  ...         NaN
32                            Two or More Races  ...         NaN
33              Socioeconomically Disadvantaged  ...         NaN
34                             English Learners  ...         NaN
35                   Students with Disabilities  ...         NaN
36                                     Homeless  ...         NaN
37                                          NaN  ...         NaN
38                                          NaN  ...         NaN
39                                          NaN  ...         NaN
40      Elementary School\rWith Full Credential  ...         NaN
41                      Without Full Credential  ...         NaN
42  Teaching Outside Subject Area of Competence  ...         NaN

